13.688	12.056
13.534	11.900
13.530	11.896
13.153	11.534
12.847	11.267
12.719	11.156
12.632	11.080
12.586	11.037
12.274	10.731
12.055	10.525
11.814	10.318
11.632	10.161
11.368	9.938
11.102	9.715
10.866	9.516
10.550	9.247
10.505	9.210
10.346	9.074
10.053	8.823
10.006	8.783
9.685	8.504
9.584	8.416
9.351	8.214
9.223	8.101
9.061	7.960
8.970	7.882
8.814	7.743
8.793	7.724
8.741	7.678
8.583	7.539
8.536	7.497
8.403	7.379
8.278	7.268
8.163	7.166
8.007	7.027
7.057	6.262
6.979	6.193
6.878	6.102
6.764	6.002
6.689	5.936
6.500	5.771
6.478	5.752
6.344	5.636
6.264	5.566
6.071	5.400
6.043	5.375
5.825	5.191
5.746	5.124
5.571	4.975
5.567	4.972
5.313	4.755
5.050	4.528
4.960	4.450
4.782	4.293
4.624	4.154
4.497	4.042
4.311	3.875
4.191	3.767
4.016	3.608
3.847	3.454
3.760	3.374
3.566	3.196
3.450	3.089
3.407	3.050
3.237	2.894
3.070	2.742
3.024	2.701
2.909	2.596
2.739	2.444
2.623	2.342
2.606	2.328
2.481	2.222
2.384	2.145
2.308	2.090
2.270	2.066
2.253	2.056
2.243	2.062
2.279	2.115
2.282	2.119
2.290	2.128
2.354	2.193
2.417	2.253
2.470	2.303
2.485	2.318
2.508	2.339
2.492	2.326
2.437	2.280
2.347	2.205
2.222	2.103
2.197	2.082
2.032	1.955
1.993	1.926
1.914	1.867
1.847	1.822
1.825	1.811
1.817	1.807
1.790	1.787
1.779	1.777
1.747	1.749
1.706	1.712
1.682	1.690
1.617	1.629
1.553	1.569
1.491	1.511
1.431	1.455
1.318	1.346
1.109	1.144
0.966	1.005
0.916	0.956
0.737	0.782
0.731	0.776
0.574	0.622
0.420	0.472
0.275	0.331
0.169	0.227
0.140	0.200
0.013	0.075
-0.109	-0.043
-0.225	-0.157
-0.337	-0.266
-0.443	-0.370
-0.547	-0.471
-0.559	-0.483
-0.647	-0.568
-0.742	-0.661
-0.835	-0.752
-0.926	-0.840
-1.014	-0.926
-1.098	-1.009
-1.181	-1.090
-1.419	-1.323
-1.488	-1.390
-1.723	-1.620
-1.784	-1.680
-1.822	-1.718
-2.040	-1.933
-2.122	-2.014
-2.164	-2.056
-2.344	-2.233
-2.441	-2.329
-2.485	-2.372
-2.639	-2.525
-2.746	-2.631
-2.834	-2.718
-2.953	-2.835
-3.050	-2.932
-3.080	-2.962
-3.191	-3.071
-3.301	-3.182
-3.450	-3.330
-3.591	-3.471
-3.665	-3.545
-3.667	-3.547
-3.808	-3.688
-3.975	-3.856
-4.147	-4.028
-4.310	-4.193
-4.364	-4.247
-4.386	-4.269
-4.533	-4.418
-4.683	-4.571
-4.835	-4.727
-4.936	-4.830
-5.042	-4.938
-5.169	-5.068
-5.232	-5.130
-5.208	-5.104
-5.204	-5.100
-5.199	-5.094
-5.170	-5.063
-5.148	-5.038
-5.134	-5.022
-5.131	-5.018
-5.142	-5.032
-5.193	-5.086
-5.255	-5.151
-5.322	-5.220
-5.386	-5.287
-5.457	-5.360
-5.535	-5.441
-5.600	-5.509
-5.666	-5.577
-5.736	-5.649
-5.792	-5.708
-5.855	-5.775
-5.920	-5.844
-5.987	-5.915
-6.056	-5.987
-6.128	-6.063
-6.203	-6.143
-6.256	-6.198
-6.311	-6.257
-6.368	-6.316
-6.428	-6.379
-6.492	-6.446
-6.557	-6.517
-6.627	-6.595
-6.712	-6.681
-6.808	-6.778
-6.858	-6.830
-6.914	-6.888
-6.967	-6.950
-7.029	-7.021
-7.108	-7.106
-7.203	-7.205
-7.313	-7.319
-7.437	-7.450
-7.560	-7.594
-7.654	-7.725
-7.641	-7.808
-7.602	-7.832
-7.572	-7.838
-7.525	-7.835
-7.456	-7.819
-7.367	-7.791
-7.242	-7.731
-7.080	-7.635
-6.863	-7.489
-6.614	-7.324
-6.144	-6.989
-6.040	-6.925
-5.954	-6.887
-5.959	-6.938
-5.939	-6.950
-5.887	-6.952
-5.830	-6.985
-5.872	-6.988
-5.940	-7.010
-6.089	-7.110
-6.355	-7.340
-7.343	-8.019
-7.919	-8.220
-7.981	-8.192
-8.004	-8.180
-8.014	-8.172
-8.023	-8.159
-8.025	-8.151
-8.027	-8.140
-8.025	-8.123
-8.014	-8.093
-7.993	-8.057
-7.963	-8.019
-7.927	-7.976
-7.893	-7.930
-7.844	-7.879
-7.800	-7.826
-7.755	-7.771
-7.702	-7.712
-7.646	-7.654
-7.591	-7.597
-7.536	-7.540
-7.482	-7.485
-7.435	-7.436
-7.398	-7.398
-7.365	-7.364
-7.339	-7.337
-7.318	-7.315
-7.291	-7.287
-7.423	-7.424
-7.747	-7.771
-7.757	-7.785
-7.866	-7.908
-7.924	-7.981
-7.958	-8.029
-7.970	-8.054
-7.974	-8.071
-7.976	-8.087
-7.976	-8.098
-7.976	-8.101
-7.975	-8.119
-7.973	-8.132
-7.971	-8.143
-7.967	-8.156
-7.963	-8.166
-7.958	-8.175
-7.953	-8.185
-7.946	-8.192
-7.941	-8.199
-7.935	-8.205
-7.927	-8.209
-7.919	-8.213
-7.912	-8.217
-7.901	-8.219
-7.889	-8.221
-7.878	-8.223
-7.872	-8.224
-7.840	-8.226
-7.787	-8.220
-7.714	-8.200
-7.590	-8.139
-7.506	-8.086
-7.496	-8.092
-7.473	-8.083
-7.447	-8.072
-7.417	-8.058
-7.385	-8.044
-7.348	-8.025
-7.305	-8.003
-7.261	-7.980
-7.210	-7.952
-7.183	-7.937
-7.154	-7.921
-7.124	-7.904
-7.089	-7.884
-7.051	-7.861
-7.010	-7.837
-6.966	-7.811
-6.913	-7.777
-6.853	-7.739
-6.785	-7.694
-6.745	-7.668
-6.692	-7.631
-6.637	-7.594
-6.586	-7.559
-6.546	-7.531
-6.484	-7.486
-6.403	-7.428
-6.333	-7.377
-6.280	-7.338
-6.211	-7.285
-6.139	-7.229
-6.084	-7.184
-6.014	-7.126
-5.971	-7.098
-5.950	-7.091
-5.936	-7.089
-5.927	-7.087
-5.810	-7.038
-5.768	-7.020
-5.676	-6.985
-5.585	-6.948
-5.505	-6.912
-5.354	-6.846
-5.220	-6.787
